N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
143,효성,"89,400",500,+0.56%,"5,000","18,837","21,071",7.65,"319,031",-41.91,4.25,
144,KODEX 삼성그룹,"10,540",40,+0.38%,0,"18,561","176,100",0.03,"187,909",N/A,N/A,
145,KCC,"208,000","6,000",+2.97%,"5,000","18,484","8,886",11.80,"34,778",-660.32,-4.37,
146,현대엘리베이,"44,700",150,+0.34%,"5,000","18,244","40,815",26.79,"171,325",20.02,5.22,
147,현대해상,"20,300",200,+1.00%,500,"18,148","89,400",36.23,"245,077",4.98,6.23,
148,메리츠화재,"14,900",400,+2.76%,500,"17,973","120,625",10.03,"468,802",4.37,12.80,
149,농심,"290,000",500,+0.17%,"5,000","17,640","6,083",17.20,"12,181",13.01,3.72,
150,KODEX 200TR,"13,810",10,-0.07%,0,"17,546","127,050",0.03,"57,057",N/A,N/A,
151,KODEX 단기채권,"102,695",0,0.00%,0,"17,432","16,975",0.00,"21,339",N/A,N/A,
152,대웅제약,"150,000","3,000",-1.96%,"2,500","17,380","11,587",4.87,"42,256","-1,048.95",4.34,
153,KODEX 레버리지,"27,505",40,-0.15%,0,"17,218","62,600",4.17,"23,273,501",N/A,N/A,
154,KODEX MSCI Korea TR,"13,795",20,-0.14%,0,"17,147","124,300",10.27,"272,109",N/A,N/A,
155,아이에스동서,"54,200",200,+0.37%,500,"16,744","30,893",5.26,"30,264",13.07,6.10,
156,씨에스윈드,"93,800","9,000",+10.61%,500,"16,214","17,286",9.03,"1,270,235",65.41,9.92,
157,영원무역,"36,450",50,+0.14%,500,"16,152","44,311",24.22,"79,581",9.86,9.82,
158,TIGER MSCI Korea TR,"17,360",85,-0.49%,0,"16,075","92,600",0.00,"167,676",N/A,N/A,
159,솔루스첨단소재,"52,400","1,600",+3.15%,100,"16,029","30,590",7.06,"419,392",151.45,N/A,
160,부광약품,"24,500","1,250",-4.85%,500,"15,885","64,838",4.81,"2,163,151","12,250.00",-2.00,
161,동원시스템즈,"61,500","3,600",+6.22%,"5,000","15,755","25,619",1.48,"169,508",34.94,8.69,
162,KODEX 종합채권(AA-이상)액티브,"109,670",115,-0.10%,0,"15,075","13,746",0.00,"1,967",N/A,N/A,
163,LG생활건강우,"717,000","8,000",+1.13%,"5,000","15,055","2,100",84.42,"2,440",16.06,N/A,
164,롯데정밀화학,"58,100","1,200",+2.11%,"5,000","14,990","25,800",22.83,"127,404",8.76,11.73,
165,명신산업,"36,350","1,200",-3.20%,500,"14,823","40,779",1.70,"274,128",N/A,53.84,
166,세방전지,"102,500","4,000",-3.76%,500,"14,350","14,000",25.12,"176,772",19.42,7.70,
167,DL,"92,600","2,900",+3.23%,"5,000","14,299","15,441",32.71,"438,880",4.90,11.74,
168,SK네트웍스,"5,690",200,+3.64%,"2,500","14,122","248,188",12.05,"1,735,195",-24.63,-5.85,
169,코오롱인더,"52,300",800,-1.51%,"5,000","14,110","26,979",15.24,"273,848",9.36,1.58,
170,NHN,"72,000",600,+0.84%,500,"14,087","19,565",11.53,"38,940",47.97,0.78,
171,지누스,"97,700",600,+0.62%,500,"14,075","14,407",23.17,"25,581",19.72,26.32,
172,LG전자우,"80,400",500,+0.63%,"5,000","13,818","17,186",38.53,"159,337",17.46,N/A,
173,효성첨단소재,"299,500","10,000",-3.23%,"5,000","13,417","4,480",9.76,"211,879",-20.06,-19.74,
174,메리츠금융지주,"10,000",180,+1.83%,500,"13,401","134,011",8.37,"295,740",2.88,15.26,
175,한올바이오파마,"25,450",450,-1.74%,500,"13,295","52,241",6.47,"441,290",67.51,14.90,
176,신세계인터내셔날,"181,500","5,000",+2.83%,"5,000","12,959","7,140",4.71,"41,223",28.74,12.98,
177,SK디스커버리,"66,700",0,0.00%,"5,000","12,698","19,038",9.95,"88,785",4.38,11.52,
178,에스엘,"26,250","2,200",-7.73%,500,"12,653","48,203",14.63,"480,449",28.20,7.25,
179,한전KPS,"28,100",200,+0.72%,200,"12,645","45,000",10.95,"108,821",10.43,14.98,
180,영진약품,"6,730",40,+0.60%,500,"12,309","182,893",4.22,"269,985","-1,682.50",4.43,
181,KBSTAR 200,"43,030",45,-0.10%,0,"12,199","28,350",0.02,"62,596",N/A,N/A,
